Title,Director,Stars,IMDb-Rating,Category,Duration,Censor-board-rating,Fecha_estreno,Contiene Sexo,Recaudación(en millones de dólares)
Top Gun: Maverick,JosephKosinski,"TomCruise, JenniferConnelly, MilesTeller, ValKilmer",8.6,"Action,Drama",130min,UA,23/09/1958,FALSE,"31,726"
Everything Everywhere All at Once,"DanKwan,",", MichelleYeoh, StephanieHsu, KeHuyQuan, JamesHong",8.3,"Action,Adventure,Comedy",139min,R,24/07/1965,TRUE,"264,188"
The Batman,MattReeves,"RobertPattinson, ZoëKravitz, JeffreyWright, ColinFarrell",7.9,"Action,Crime,Drama",176min,UA,14/08/1984,TRUE,"63,017"
Jurassic Park,StevenSpielberg,"SamNeill, LauraDern, JeffGoldblum, RichardAttenborough",8.2,"Action,Adventure,Sci-Fi",127min,UA,16/11/1933,FALSE,"207,139"
The Godfather,FrancisFordCoppola,"MarlonBrando, AlPacino, JamesCaan, DianeKeaton",9.2,"Crime,Drama",175min,A,03/08/1919,TRUE,"207,31"
Spider-Man: No Way Home,JonWatts,"TomHolland, Zendaya, BenedictCumberbatch, JacobBatalon",8.3,"Action,Adventure,Fantasy",148min,UA,22/06/1947,FALSE,"106,581"
RRR (Rise Roar Revolt),S.S.Rajamouli,"N.T.RamaRaoJr., RamCharan, AjayDevgn, AliaBhatt",8.1,"Action,Drama",187min,UA,18/07/1975,FALSE,"4,417"
Pirates of the Caribbean: The Curse of the Black Pearl,GoreVerbinski,"JohnnyDepp, GeoffreyRush, OrlandoBloom, KeiraKnightley",8.1,"Action,Adventure,Fantasy",143min,UA,16/04/1925,TRUE,"240,87"
Dune: Part One,DenisVilleneuve,"TimothéeChalamet, RebeccaFerguson, Zendaya, OscarIsaac",8,"Action,Adventure,Drama",155min,UA,15/03/1985,TRUE,"244,693"
Goodfellas,MartinScorsese,"RobertDeNiro, RayLiotta, JoePesci, LorraineBracco",8.7,"Biography,Crime,Drama",145min,A,25/11/1919,FALSE,"198,219"
The Shawshank Redemption,FrankDarabont,"TimRobbins, MorganFreeman, BobGunton, WilliamSadler",9.3,Drama,142min,A,26/04/2007,TRUE,"7,725"
Star Wars,GeorgeLucas,"MarkHamill, HarrisonFord, CarrieFisher, AlecGuinness",8.6,"Action,Adventure,Fantasy",121min,U,30/08/1956,FALSE,"117,256"
Titanic,JamesCameron,"LeonardoDiCaprio, KateWinslet, BillyZane, KathyBates",7.9,"Drama,Romance",194min,UA,09/02/2014,FALSE,"6,237"
Harry Potter and the Sorcerers Stone,ChrisColumbus,"DanielRadcliffe, RupertGrint, RichardHarris, MaggieSmith",7.6,"Adventure,Family,Fantasy",152min,U,24/02/1907,TRUE,"170,212"
Once Upon a Time in... Hollywood,QuentinTarantino,"LeonardoDiCaprio, BradPitt, MargotRobbie, EmileHirsch",7.6,"Comedy,Drama",161min,A,27/06/2004,FALSE,"72,166"
The Goonies,RichardDonner,"SeanAstin, JoshBrolin, JeffCohen, CoreyFeldman",7.7,"Adventure,Comedy,Family",114min,U,03/05/1965,FALSE,"143,801"
